DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,55.02,42.95,57.66,81.81,173.71,111.26,114.78,44.2,58.12,89.81,88.73,60.14,167.81,446.75,84.69,30.38,109.74,57.08,45.78,55.83,81.16,178.71,64.63,151.64,81.96,163.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,91.49,65.23,53.42,118.7,158.95,147.14,164.2,64.07,94.14,137.07,135.06,96.19,129.65,465.51,111.79,37.56,162.9,49.72,62.81,85.89,79.96,186.12,77.37,214.86,81.24,179.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,49.28,49.28,54.92,128.5,128.36,165.39,179.31,71.43,105.73,151.62,150.14,106.96,101.53,458.89,119.53,33.46,176.09,47.71,47.71,96.9,65.54,167.11,86.63,230.35,66.35,170.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,83.25,83.25,76.55,96.3,86.54,117.36,126.81,67.9,74.38,114.5,113.67,87.31,75.76,368.24,123.24,80.21,131.6,79.37,79.37,78.97,77.82,71.82,90.36,179.6,77.57,70.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,64.39,64.82,64.82,77.81,71.96,84.34,96.37,76.92,66.47,87.62,86.74,71.81,74.45,345.43,105.62,84.13,101.54,66.79,67.18,66.92,79.01,74.31,95.16,143.35,78.84,75.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,72.49,72.44,74.34,69.91,86.12,80.58,85.95,90.34,76.02,77.37,76.91,67.79,74.75,321,83.4,60.17,88.46,69.37,68.6,69.17,90.79,71.19,88.56,125.28,90.35,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,72.42,71.93,72.24,69.89,75.63,85.63,89.87,84.35,73.94,79.2,78.68,66.52,69.04,336.21,83.2,67.61,91.57,68.62,67.6,67.29,79.88,67.48,83.38,129.18,79.55,66.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,59.19,62.74,69.23,54.62,52.23,59.67,61.94,99.34,71.28,55.62,55.53,59.53,60.02,333.11,74.34,61.19,61.09,56.36,59.67,64.47,61.92,58.66,102.77,88.81,61.63,55.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,59.78,60.52,99.29,66.24,70.67,58.4,61.92,136.28,101.83,60.83,61.05,78.34,66.71,298.61,72.06,101.74,60.05,55.77,56.37,89.5,98.64,58.43,126.16,82.55,97.98,59.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
